Handle,LevDistance,IntersectionalityScore,DDNADistance,APUScore,SADScore,GrantOwner,IPsShared
nisaljahan,4,0,0,0,1,0,1
xintiao229,3,1,0,0,1,0,0
qiaofeng999,4,2,0,0,1,0,1
emadomjan,3,0,0,0.08,1,0,0.5
qweiuo,2,3,0.17,0.15,1,0,1
yuanshanwill,4,2,0.22,0,1,0,1
air204,1,3,0.14,0,1,0,1
zk8crypto,1,1,0,0,1,0,0
str1cken,3,4,0,0.11,1,0,0
tanpv,2,2,0,0,0,0,0
agreementopen5246,8,1,0,0.26,1,0,0.14
wangxun456,3,3,0,0.11,1,0,1
taaaahaa,2,1,0,0,1,0,0.8
endlessgoods,5,3,0,0.1,1,0,0.5
olinkastin,3,0,0,0,1,0,1
camitary,2,2,0,0.1,1,0,0.67
borisqlapon,4,1,0,0,1,0,0
un1nc,2,1,0.12,0.08,1,0,0
chenkaiwei0111,4,1,0,0.1,1,0,0
raaghavnakatsu,6,1,0,0,1,0,0
arostmusk594,5,1,0,0,1,0,0
gen4nefturov,6,1,0,0,1,0,0
stella-ning,3,4,0.04,0.11,0,0,1
fgellvesb,4,1,0,0,1,0,0
raccoonhahaha,5,4,0.18,0,0,0,0.25
welinaq,2,3,0.17,0.15,1,0,1
egfvjlnwpt,5,1,0,0,1,0,0
aomenlaobi2,1,0,0,0,1,0,0
viktorxhgri,4,1,0,0,1,0,0
guoguang22,4,2,0,0.1,1,0,0
muske5793,4,1,0,0,1,0,0
pongsakoon55,4,1,0,0,1,0,0
cjldxkhkmi,5,1,0,0,1,0,0
salyat852,4,2,0,0.07,1,0,1
ocbwytday,4,1,0,0,1,0,0
clouds7788,4,NA,0.17,0,1,0,1
j37r0n,2,3,0.16,0.1,0,0,0
kobenoto,3,2,0,0.08,1,0,1
cetoz,1,2,0.11,0.15,0,0,0
lzhilin2010,4,2,0,0,1,0,0
yunqipumianerlai,8,0,0.24,0.1,1,0,0
gg580580,4,3,0,0,1,0,1
hagichanman,3,2,0.17,0.15,1,0,0.67
norinori2323,5,3,0.12,0.05,0,0,0
racouperus,4,3,0.14,0.08,0,1,0
0xyolki,1,2,0.33,0.15,1,0,0.83
chengdongfu,3,3,0.4,0.08,0,0,0.72
pali7002,3,1,0,0.11,1,0,1
roelie885,3,4,0.58,0.1,0,0,0
ouuoer,2,3,0.29,0.15,1,0,1
wang192903chen,5,3,0,0.18,1,0,1
bashirov051,4,0,0.05,0,1,0,0
moeendoteth,4,3,0.67,0,0,0,0
zapaz,1,3,0.5,0.08,0,0,0.14
remybaca,3,2,0.09,0.1,1,0,0
mvl2009,2,3,0.08,0,0,0,0
shrenujkabra,5,2,0.25,0.16,0,0,0.06
ketlyfreirik,5,2,0.64,0,1,0,1
vongocwin,3,2,0.2,0.08,0,0,0
haoge-1,1,3,0,0,0,0,0.6
hifreedomyuan,4,4,0.27,0,1,0,0.95
mosouu,2,4,0.2,0.08,1,0,1
michalich10,3,0,0,0.05,1,0,0
xiaoli202204,4,2,0,0.18,1,0,1
vitbauer,2,2,0,0.1,1,0,0.25
2100411500,4,4,0.25,0.11,1,0,1
benv666,2,NA,0.58,0,0,0,0.5
technoidicash,5,0,0,0.1,0,0,0
9668817,3,1,0.09,0.21,0,0,1
huang051711song,6,3,0,0.18,1,0,1
confusedo,4,2,0.1,0.08,1,0,1
huob-i,2,2,0,0.1,1,0,1
ypkqtow,3,1,0,0,1,0,0
imyuanyueling,2,4,0.32,0.21,0,0,1
atorillo,2,3,0.19,0.1,1,0,0
jmalfro,3,1,0,0,1,0,0
zzzzzdf44,2,3,0,0,1,0,1
maliyah985,3,1,0,0.11,1,0,0
abcd880101,4,0,0,0.05,1,0,0
alirezab22,2,4,0.12,0.08,1,0,0.25
frkydotql,5,1,0,0,1,0,0
paamm7,2,1,0,0,1,0,0
nightlee1996,5,4,0.06,0.13,0,0,0.39
acpawam,2,3,0.25,0.15,1,0,1
shusev7,2,1,0,0.08,1,0,1
aomenlaobi1,1,0,0.14,0,1,0,0
asourichef,3,2,0,0,1,0,0.83
adenzz,2,3,0,0.08,1,0,0
erfaniism,2,2,0,0,1,0,0.67
guodongli1,3,1,0,0.1,1,0,0
vvvpojvu,4,1,0,0,1,0,0
cdeecn,2,4,0.28,0.08,0,0,0.13
hao119500wa,5,3,0,0.15,1,0,1
xinyi123a,3,3,0.09,0,0,0,0.38
ragingbullbeans,7,0,0,0,1,0,0
idgcrypto,2,3,0.07,0.11,1,0,1
fife1fife,4,1,0,0.1,1,0,0
wewery1,2,3,0,0,0,0,0
wolaixunshan1,6,2,0,0.13,1,0,0
youqing99,3,1,0,0,1,0,0
caayox,2,0,0,0.1,1,0,1
hakatekakashi,5,1,0.07,0,1,0,0
donaldmoor35,4,0,0,0,1,0,0
svenssonkarlsson,7,4,0.43,0,1,0,0.33
zaolele,2,1,0.08,0.21,0,0,1
wenjunwei555,5,3,0.27,0.1,1,0,0.75
609332633,4,1,0.13,0.21,0,0,0.51
shus6,2,1,0,0.08,1,0,1
bainp170,3,0,0,0,1,0,0
gd2286,2,NA,0.12,0,1,0,1
vasily555,3,1,0,0,1,0,0
cardoooc,3,4,0,0.08,1,0,1
saruntalento,5,1,0,0,1,0,0
kpjlvmdco,4,1,0,0,1,0,0
xiaomitaikong,4,1,0,0,1,0,0
oniomp,2,3,0.29,0.15,1,0,1
chenyinzao,2,1,0.15,0.2,0,0,0.97
lili0627,3,0,0,0,1,0,0
biaming-coder,4,3,0,0,1,0,1
luoyc86,2,2,0,0,1,0,1
dmdebasish313,4,1,0,0.11,1,0,1
wang882835chen,5,3,0,0.18,1,0,0
zaolema,2,1,0.2,0.2,0,0,0.83
hubgit77,1,1,0,0,1,0,0
101213k,3,2,0,0,1,0,1
0xace1,2,1,0,0.11,1,0,0
adenzzzz,2,4,0,0.13,1,0,0
flowerec,2,0,0,0,1,0,1
criusxx,2,4,0.11,0.16,0,0,0.69
joe8866,2,1,0.31,0.23,0,0,0.96
loopingraph,4,2,0.33,0,0,0,0
yirenyang9789,4,0,0.1,0,1,0,0.5
anjyu01,3,2,0.18,0.15,1,0,1
ninelka666,3,0,0,0.11,1,0,0
umitsahintde,4,4,0,0.21,1,0,0
stephan60086627,6,2,0,0.11,1,0,0.67
leo2august,4,3,0.14,0,0,0,0
tomtom30003000,5,4,0,0.15,1,0,1
palzc,2,4,0,0,1,0,0.62
dushaobindoudou,7,4,0,0.05,0,1,0.52
xinyu2235,3,0,0.1,0.05,1,0,0
imtoken-11,3,2,0,0.1,1,0,1
mermajax,2,1,0,0,1,0,0
ringbel,2,2,0,0.08,1,0,1
gifthelenasp,5,1,0,0.1,0,0,1
diducm,3,3,0.36,0.15,1,0,0.5
hoseinebi,3,3,0.07,0,1,0,0.25
first0065,3,1,0,0,1,0,0
ghdbnsb,3,1,0.07,0.29,0,0,0.68
89562,2,2,0,0,1,0,1
rdddev,2,3,0.09,0,1,0,0
shufive,2,1,0,0.08,1,0,1
han483818jia,7,3,0.08,0.16,1,0,1
stepankov29y,4,1,0,0,1,0,0
kisbaroks14,5,0,0,0,1,0,0
ggabriel8,2,4,0.25,0,0,1,0.03
zhangmaz1,3,2,0,0,0,0,0.45
bfqu,2,4,0.43,0.28,0,0,0.5
alifikri123,4,4,0,0,0,0,0.1
howmhg,2,1,0,0,1,0,0
canchitanela,5,4,0.55,0,0,0,0.29
canzains,2,2,0,0.2,1,0,1
moick6,2,3,0.52,0.18,0.04,0,0.64
weiliu121,2,2,0,0.11,1,0,0
mirak2048,4,4,0.29,0.08,1,0,0.24
pengchenglili,4,1,0,0.1,1,0,0
ald861213,4,3,0,0,1,0,0
abochk,2,1,0.25,0,1,0,1
ogjcaq,3,3,0.14,0.15,1,0,1
guiping19,2,2,0,0,1,0,1
clairjessen,3,0,0,0,1,0,0
younuo2022,3,4,0,0.31,0,0,0.72
jshs3232,3,0,0,0,1,0,1
jackchung,1,1,0.21,0.31,0,0,0.85
pearcejeani9,5,1,0,0.1,0,0,1
discusfish2022,6,1,0,0.11,1,0,1
moonman442,2,3,0,0.16,0,0,0
wfang0851,3,3,0.14,0.11,0,0,0.75
jim5201314,2,4,0.3,0.18,0,1,0.33
elizachen,2,4,0.06,0,0,0,0.2
ruslanklinkov,4,NA,0,0.06,1,0,0
veciakings4x,5,1,0,0.1,0,0,1
009hua,1,2,0,0,1,0,0.33
galinaglad,3,1,0.12,0,1,0,1
umairyaseen77,5,2,0.1,0.16,1,0,0
junmingliow,4,1,0.08,0,1,0,0.5
gjrtj475,4,3,0.29,0.15,1,0,1
iaohu740622,5,3,0.25,0.08,1,0,0.75
reevesguan,4,4,0,0.1,1,0,0.2
xokkoks,3,3,0,0.13,1,0,1
gary477789,4,2,0,0,1,0,1
koalasong,2,2,0,0,0,0,0.86
debapriyadey96,5,1,0,0.11,1,0,1
phoebenl,2,4,0.14,0.11,1,0,0.22
corysvensson,4,3,0,0,0,0,0
vishpapneja,4,4,0.08,0.11,1,0,0
maaaaani,2,2,0,0,1,0,1
jackbauer90,3,4,0.21,0.11,0,0,0.31
hmgeqyna,4,1,0,0,1,0,0
typwu,2,2,0,0,1,0,0
pkx2022,1,NA,0.09,0,1,0,0.5
moupriyadey95,5,1,0,0.11,1,0,1
x3au4ukx,2,3,0.14,0.16,1,0,0
4d1e1,2,0,0.5,0,1,0,0.83
millecarla70,5,1,0,0,1,0,0
aly0317,2,1,0.5,0.08,1,0,0.5
xzvjuq,3,2,0.17,0.1,1,0,1
staroi,2,3,0.12,0.08,1,0,1
hafeezsm,2,0,0.05,0.1,0,0,0
owanduoluchiqq,7,1,0,0.1,0,0,1
santmehta,3,2,0.12,0.1,0,0,0
bdbdhkul,3,2,0.29,0.15,1,0,1
sourialireza,5,1,0,0,1,0,0.67
nettitait,3,0,0,0,1,0,0
sammyliow2022,4,1,0,0.03,1,0,1
giraffechickenwing,6,0,0,0,1,0,0
qirxokjnpn,5,1,0,0,1,0,0
amelia95086972,5,2,0,0,1,0,0.5
skiummydci,5,1,0,0,1,0,0
lieirvseg,4,1,0,0,1,0,0
3swdsd,3,0,0.18,0,1,0,1
mwjgtisbgc,5,1,0,0,1,0,0
fxnmahnuqy,5,1,0,0,1,0,0
erlandomarcello123,8,3,0,0,NA,0,1
bgffsg,3,2,0.17,0.1,1,0,1
qholxats,3,4,0,0.15,1,0,1
tomsung17,2,1,0,0,1,0,0
xiashiyua,3,1,0.1,0,1,0,1
aqryuyu,3,1,0.14,0.1,1,0,0
luka520,2,4,0.29,0,1,0,1
shufour,3,2,0,0.08,1,0,1
0xbelulu,3,1,0.48,0.04,1,0,1
silverjames7v,5,1,0,0.1,0,0,1
lara2021y,2,3,0.09,0.08,1,0,0
e-x-t-r-a-f-r-a-m-e,10,0,0,0.15,1,0,0
hpy1986,2,NA,0,0,1,0,0.5
xiaolei2018,3,4,0.44,0,0,0,0.77
macyuanshan,3,2,0.25,0.2,1,0,1
deedddd,3,4,0,0,0,0,0.28
omop1010,3,0,0,0,0,0,0
yermolovoleh,5,3,0.09,0.08,1,0,0
lexander007,3,3,0.06,0.2,1,0,1
first-one1,2,3,0.17,0,1,0,1
vita777r,3,3,0,0.08,1,0,0
mpalacios80,3,2,0,0.03,1,0,0.4
emmaxjules23,5,1,0,0.1,0,0,1
huanhu8710,3,0,0.5,0.03,1,0,0.5
linyan333,3,3,0.27,0,1,0,0.67
universityino,5,2,0.19,0.2,1,0,0
zlatamoon1,4,3,0,0.1,1,0,0
xihuihui90,3,1,0.28,0.16,1,0,1
0xzenlee,3,0,0,0,1,0,0
hd-nr,2,2,0.2,0.21,1,0,0
dolphlundgren,4,NA,0,0,1,0,0
shusheng01,3,4,0.25,0.15,0,0,0.83
tertower,2,4,0.4,0.16,0,0,0
shutree3,2,2,0,0.08,1,0,1
gzyknc,3,4,0,0.1,1,0,0.2
pavel1993rrr,5,3,0,0.15,1,0,0
charliehart1711,4,1,0,0.1,0,0,1
jamestongtong888,3,3,0,0,1,0,1
jinghongbrisbane,6,4,0.2,0.2,0,0,0
stopxam11,4,2,0.11,0.16,1,0,0
mune-1028,4,1,0.17,0,1,0,0
nio00x,2,1,0.33,0,1,0,0
jiexin234,3,3,0.14,0.18,0,0,0.63
marjraft,3,1,0,0,1,0,0
wulithmeji,4,3,0,0.07,1,0,0
mikoton0999,3,2,0.18,0.15,1,0,1
svetadft1966,5,3,0.1,0.15,1,0,0
milkopaq,3,2,0.15,0.18,1,0,0.75
gaganyaansnowstormnix,11,0,0,0,1,0,0
tomsung,2,NA,0,0,0,0,0
bensenkerni08,6,1,0,0.1,0,0,1
astraman,1,3,0.11,0.1,0,0,0
rochome8,3,4,0.09,0.13,0,0,0.4
igorukraine26,5,3,0,0.23,1,0,0
imblackjack1,4,4,0.48,0.15,0,0,0.41
vtll83,2,2,0.21,0.08,1,0,0
karledorothy238,7,0,0,0,1,0,0
ashleytina4k,4,1,0,0.1,0,0,1
mhd2022,2,0,0.11,0,1,0,0.5
bbroderic,1,1,NA,0,1,0,0
huang201565,3,3,0.29,0.16,1,0,1
saveascj4,1,3,0.12,0,1,0,1
minhnbk,1,2,0.14,0,0,0,0
fang1411,2,4,0.04,0,0,0,0.75
espnbishopp84,6,1,0,0,1,0,0
mast33,2,3,0.1,0.29,1,0,0
angelas85,2,2,0,0.11,1,0,0.25
fgxnjjdy,4,4,0.29,0.1,1,0,1
paulxiiv2,4,4,0.18,0.25,1,0,0
yaroslavlvm,3,1,0,0,1,0,0
dawanglailo,2,1,0.1,0.11,1,0,0
lyndonbe,3,2,0.25,0.11,1,0,0
xytuyn,2,3,0.17,0.15,1,0,1
slyde619,3,3,0.05,0,0,0,0.95
tata7772,2,4,0.27,0.15,0,0,0.2
lluyh,1,1,0,0,1,0,0
kjuojio,3,0,0.33,0,1,0,0
indianayanuarianti,9,4,0,0.18,1,0,1
jamesval01,3,2,0,0.08,0,0,0.26
jeidejjj,3,0,0,0,1,0,0
inventatorul1,5,0,0,0,0,0,0
oziyaude3v,4,1,0,0.1,0,0,1
zhiuhaiying,3,3,0,0.2,1,0,1
shushutwo,3,1,0,0.08,1,0,1
qilzun,2,4,0,0.13,1,0,1
naraashikamaru,6,1,0.07,0.11,1,0,0
chintanv2,3,1,0.13,0,1,0,0
huanzair9,3,1,0.33,0.11,1,0,1
eiyfrddkd,3,1,0,0,1,0,0
cryptodegentwo,3,3,0.33,0.13,1,0,0.33
hryh,1,2,0.11,0,1,0,0
wxkkxw520,3,1,0.25,0.1,0,0,0.8
ginechiebere11,6,1,0,0.1,0,0,1
toraonion,3,1,0,0.1,0,0,0
capitou,2,2,0.1,0.08,1,0,1
weqwed,2,2,0,0,1,0,1
pinocryoto,3,3,0.08,0,1,0,0.33
charlottec8133762,6,1,0,0,1,0,1
aplebin,2,1,0,0,1,0,0
andjdjswanson7,6,NA,0,0,1,0,0
lqzh,2,4,0.41,0,0,0,0.67
raber1945,3,4,0,0,0,0,0.48
mukbeqt,3,1,0,0,1,0,0
pviswamo86,5,1,0,0,0,0,0
ergf001,2,1,0,0,1,0,0.8
yu2906123031,2,3,0,0,0,0,0.55
allonszt,3,4,0.11,0.2,1,0,1
littlehaono1,4,3,0.25,0.1,1,0,0.5
shu122022,3,0,0,0.08,1,0,0
0x2so,2,NA,0,0,1,0,1
cbgr596,3,2,0.19,0.16,1,0,0
fightersgang,4,2,0.65,0,1,0,0.75
oketuamara81,5,1,0,0.1,0,0,0.86
chikashi-kato,5,3,0.14,0.1,0,0,0.25
fengnimabi,4,4,0.04,0,1,0,1
kcrommen,3,3,0.45,0.28,0,0,0
adks-li,3,3,0,0,0,0,0.31
udbvrwzljc,5,1,0,0,1,0,0
7499380,2,3,0,0.05,0,0,0.78
pav777,2,2,0.08,0.16,0,0,0.33
artanis1979,4,1,0,0.13,1,0,0
dadagege123,3,3,0,0.08,1,0,1
timaya8gara,4,1,0,0.11,0,0,1
lookraes,3,1,0,0,1,0,0
mirage-av,3,1,0.2,0,0,0,0
hannibal211,2,1,0,0,1,0,0
pipixia11,3,4,0,0.1,1,0,1
ilevait,2,2,0,0,1,0,0
vyacheslavsot69,4,1,0,0,1,0,0
alhajianas,3,1,0,0,1,0,1
yaymullia,3,3,0,0.11,1,0,1
wbac4,2,3,0.13,0.18,1,0,0
siewfina,3,2,0.1,0,NA,0,0.5
sunshineobi4,4,1,0,0.11,0,0,1
krisdencollins1,6,0,0,0,1,0,0
miremax101,3,0,0,0,1,0,0
ediksatsuta1,5,0,0,0,1,0,0
shido16,2,0,0,0.1,1,0,0
nierefeigco,5,2,0,0,1,0,1
missflowers16182,1,4,0,0,1,0,1
hrkjros1,4,0,0,0,1,0,0
ludao2021,2,4,0.2,0,0,0,0.2
99686,2,2,0,0,1,0,1
jeffreypurinyo1,5,1,0,0.11,0,0,1
yangtuo8,3,4,0.11,0.38,0,0,0.58
zhoumengyao22,1,3,0,0,1,0,1
allonszy1984,5,4,0.31,0.18,1,0,1
katietrunzo,4,0,0,0,1,0,0
cjsaveas,1,3,0,0,0,0,1
ppassoiy,3,3,0,0.11,1,0,1
woyaofacaiss,3,3,0,0,0,0,0.9
hmichell,2,2,0,0,1,0,1
emienmka,2,1,0,0,1,0,0
somayenr,2,4,0,0.06,1,0,0.4
stevenwan187,2,1,0,0,1,0,0
zlq4681179,4,2,0.12,0.15,1,0,0.85
mikejar25,3,1,0,0,1,0,0
linyi7726,3,4,0,0.2,1,0,1
sibpedulimas,5,3,0,0.08,1,0,1
neafmm,2,4,0.08,0.11,1,0,0
brousoft,3,4,0.03,0,0,0,0
uniforman,3,2,0.14,0.08,1,0,1
qiaoyiqiao3,1,3,0,0.21,0,0,0.75
viha2828,3,3,0.2,0,1,0,0
ohg1223654,4,3,0.26,0.2,1,0,0
mommygriffin3,2,0,0,0,1,0,0
ericccccccccccccccccc,9,4,0,0.08,1,0,1
sholl25,2,2,0,0,1,0,1
aefiud,3,3,0.29,0.11,1,0,0.5
dongmajie,2,3,0.24,0,1,0,0.71
marravillas,4,1,0.2,0,0,0,0
rachelniccolai1,6,0,0,0,1,0,0
kook-ps,3,4,0,0.21,0,0,0
sun69213xu,4,2,0,0.16,1,0,0
0xar4sh,2,2,0.2,0.03,1,0,0.69
bambalados,3,4,0.36,0.13,0,0,0.67
encryptoking,3,4,0.15,0.11,0,0,0.03
louiseminier099,6,3,0,0.1,1,0,1
ponkungth,3,1,0,0,0,0,0
pengyuanxwpm,5,4,0.22,0.21,0,0,0.92
huoyig,1,1,0.4,0,1,0,1
alice2371,2,1,0,0,1,0,0
zenlee123,2,1,0,0,0,0,0.33
iverson200,3,3,0.05,0.2,1,0,0
msthirt,2,2,0,0,1,0,1
tigerluo86,4,2,0,0,1,0,1
matrooshka,3,3,0,0,1,0,0
marcelstrehlow,1,4,0,0.2,1,0,0
z2gtry,3,4,0.33,0,1,0,0.5
cryptobeliever2021,6,4,0,0.11,0,0,0
eberelinda1v,5,1,0,0.11,0,0,1
xqasxx,2,1,0.19,0.08,1,0,0
mrhe6868,1,1,0.3,0.15,0,0,0.83
seangege155,3,1,0.2,0,1,0,0
tomoki-taguchi,6,2,0.12,0.13,1,0,0.17
tang85014pan,6,2,0,0.16,1,0,1
danicadunshie,5,4,0,0.2,1,0,0
emptykingg,4,2,0.17,0,1,0,0.45
holliday29,1,2,0,0,1,0,1
tony886t,2,4,0,0,1,0,1
bit789,2,3,0.15,0,1,0,1
dianpelangirainbow,8,3,0,0.1,1,0,1
newzfreedom,3,4,0.18,0,1,0,0
kugua0426,3,3,0.2,0.1,1,0,0.64
pan658287,4,2,0.27,0,1,0,1
alia8665,2,3,0.08,0.11,1,0,0
04travis,2,4,0.08,0,1,0,0.93
heather28,2,2,0,0,1,0,1
bouze,2,2,0,0.11,0,0,0
age700001,4,2,0,0.1,1,0,0
zengcanzk,3,2,0,0,1,0,1
ffurkan91,2,2,0.36,0.15,1,0,0
hertpatria01,6,2,0,0.08,1,0,0
kduart,2,2,0,0,1,0,1
janiecepangburn,7,4,0,0.2,1,0,0
ljdi32,2,1,0,0,1,0,0
delaiprofit,3,3,0.13,0.08,0,0,0.22
cakenop,2,3,0.2,0.08,0,0,0
suishen2,2,1,0,0,1,0,0
refundp,1,3,0,0.1,1,0,1
exjosgmb,4,1,0,0,1,0,0
burnbayfern,4,3,0,0.1,1,0,1
heloxci,3,1,0,0,1,0,1
nammon124,3,0,0,0,1,0,1
efunnemark1,5,0,0,0,1,0,0
codykinard1,5,0,0,0,1,0,0
yuehua1227,3,2,0.17,0.1,0,0,0.25
zaggi2021,3,3,0.12,0.2,1,0,0.25
mehmet4745,2,1,0,0,1,0,0
sumnemox,3,0,0,0,1,0,0
waszj-dddd,5,2,0.04,0.1,1,0,0.5
ahmetmetin35,4,3,0,0.1,0,0,0
lin310107xiao,6,2,0,0.16,1,0,1
huldanora,3,4,0,0.2,1,0,0
chongzi0307,4,4,0,0.03,0,0,0
grafgav1,3,0,0,0,1,0,0
fthnj,2,0,0,0,1,0,1
jackmacoin,3,4,0,0,1,0,1
tianliangle888,5,2,0.12,0.16,1,0,0.91
manavb11,1,3,0.06,0.26,0,0,0
gretavanor,1,4,0,0.2,1,0,0
ngozionuwaya1,6,1,0,0.08,0,0,1
largo522,3,1,0.17,0.1,1,0,0
mahmood-h01,3,4,0.19,0.11,1,0,0
alb333,2,1,0.17,0,0,0,0.86
majiiidh,2,4,0.29,0.11,1,0,0.33
pchdim,2,0,0,0,1,0,1
liuxiao66688qiang,8,3,0,0,1,0,1
gjoterus,3,0,0,0.05,1,0,1
guy6224,3,NA,0,0,1,0,1
ji7m0,2,2,0.25,0,1,0,1
buttrahn618,4,2,0,0.08,1,0,0
ramzezqqq,4,3,0.38,0.2,1,0,0
nine9l,2,2,0.25,0.11,1,0,1
tomaszeth,2,1,0.2,0.13,1,0,0
jusd872,2,1,0,0,1,0,0
sumanyu95,2,0,0.11,0.08,1,0,1
cleaklimke,3,4,0,0.2,1,0,0.33
wallace366,1,0,0,0,1,0,0
zhao48953sun861,7,2,0,0.16,1,0,1
sabinastarsz,4,1,0,0.13,0,0,1
qukauilianjianchi,8,0,0,0,1,0,0.25
leon154132,4,3,0.2,0.11,1,0,1
reducti,2,3,0,0.1,1,0,1
nbxber,2,0,0,0,1,0,1
samfunso54,4,2,0.38,0.05,0,0,0.92
noeytaliya,4,4,0,0.2,1,0,0
imnotajoker95,4,4,0.35,0.21,1,0,0
graybranch77,5,3,0.14,0.16,1,0,0
wql42535,3,1,0.18,0,1,0,1
frasherihndanienl,7,3,0,0.1,1,0,0
zhuajiehjh,4,2,0,0,1,0,1
amit10cr,3,4,0.26,0.36,0,0,0
gaterwer25,4,0,0,0.05,1,0,0
erik212-billionaire,7,NA,0.12,0,1,0,0
deniskevich,3,4,0,0.2,1,0,0
esthercindyy,4,1,0,0.1,0,0,1
yishaio,2,2,0.54,0.03,0,0,0
b89757,3,2,0,0,1,0,1
rameshdc000,4,3,0.11,0.07,1,0,0
fang123-bin,4,4,0.04,0.1,0,0,0.84
mass333,2,4,0.35,0.34,0,0,0.5
hiwi11,2,4,0.23,0.08,1,0,0.95
ponyxy,1,4,0,0,1,0,1
airdrop0201,1,3,0.14,0,1,0,1
huangchaozhong,4,4,0.15,0,1,0,0.33
bluelee2020,3,4,0.18,0.28,0,0,0.73
samemiz,2,1,0,0,1,0,0
gihansilva1997,6,2,0.12,0,1,0,0
ogennaeze2luv,6,1,0,0.1,0,0,0.8
kooshinare,4,3,0,0.18,1,0,0.33
pascalo1998,4,0,0.14,0,0,0,0
kia19900,3,4,0.19,0.11,1,0,0.38
alina3330,2,4,0,0,1,0,1
pfmrqgq,3,1,0,0,1,0,0
herimax,2,4,0.29,0.11,0,0,0.03
campkin,1,4,0,0.2,1,0,0
deborahzangwill,5,1,0,0,1,0,0
alexa746,2,2,0.08,0.1,1,0,0
glhdzvrx,3,0,0,0,1,0,0
ink115,2,4,0,0,0,0,1
milestours,4,1,0,0,1,0,0
coffeetimes,3,3,0.24,0.46,0,1,0.05
willyampangestu,6,4,0.53,0.33,0,0,0.4
fakhreabdin,3,2,0,0.11,0,0,0.04
li994428zhang,6,2,0,0.1,1,0,1
lisawang2,3,4,0,0.16,1,0,1
dekkeng,2,2,0.25,0.18,0,0,0
mnthawk,2,3,0.18,0.26,0,0,0.74
holkttral,3,0,0,0.07,1,0,1
gfdghbfvcdfs,5,1,0,0,1,0,0
dorothy3419077,6,2,0,0,1,0,1
bahubaligray1,6,1,0,0.1,0,0,1
jiluojiu581,4,2,0.11,0,1,0,1
troublesomer346,6,0,0,0.05,1,0,0
farhaniac9,3,3,0.2,0,1,0,1
artrayes,2,1,0.25,0,1,0,0
pisutns001,3,2,0.25,0,1,0,0
v2future,2,3,0.27,0,0,0,0.5
dogcion,2,2,0.1,0.18,1,0,0.33
farrellx,2,0,0.12,0,1,0,1
zayamakai,2,4,0,0.2,1,0,0
sfgafsacv,3,1,0,0,1,0,0
pqsmfqb,4,0,0,0,1,0,0
esaylive,3,3,0,0.1,1,0,1
sajal24,2,0,0,0.16,1,0,0
dyorme,1,4,0.66,0.39,0,0,0.12
freemansz,2,4,0.31,0.15,0,0,0.3
olegpetrov6b,5,1,0,0,1,0,0
chouchou0505,3,4,0.32,0.2,0,0,0.64
a785314697,5,2,0,0,1,0,1
kalainiya,3,3,0.08,0.11,1,0,0
opensuk,2,1,0,0,1,0,0
wangfjt,2,2,0.45,0.21,0,0,0.34
pearlianster,4,1,0.26,0.2,1,0,0
maniiihz,2,2,0,0.06,1,0,0.62
mengmeng666gh,4,3,0,0,1,0,1
momolea,2,1,0.17,0,1,0,1
zmhfjnapot,5,1,0,0,1,0,0
hebedebere5,3,0,0,0.05,1,0,0
dishjntgfd,4,1,0,0,1,0,0
shuaige1203,4,1,0,0.11,1,0,1
a670095344,5,3,0.26,0,1,0,0.2
nbgfhgfh,2,1,0.1,0,1,0,0
xiaoxiaoaaa,2,3,0,0,1,0,1
wzjun8,2,0,0.43,0.08,1,0,1
parandsoltan,4,4,0.32,0,1,0,0.69
dingo1688,2,1,0.11,0.21,1,0,0.92
zhaomin6666,4,3,0,0.13,0,0,0.52
ewymfcm,3,1,0,0,1,0,0
fsokgl1,3,0,0,0,1,0,0
max0502876,4,4,0.03,0,0,0,1
jim3333,2,4,0.18,0.36,0,0,0
uchexgracia,5,1,0,0.1,0,0,1
clocloii,3,2,0,0,1,0,1
xinchen668,2,2,0,0,1,0,0
digbijoynath,5,3,0.09,0.06,1,0,0
sun407555,3,4,0,0,1,0,1
asaxtezh,3,1,0,0,1,0,0
brissiagalarita1993,10,1,0,0,1,0,0
ar87-crypto,2,3,0,0,0,0,1
fuck0521,2,1,0,0,1,0,0
woyaofacailxy1,1,3,0,0,1,0,1
theodoret408,3,2,0,0,1,0,1
flaviofrasheri473,8,3,0,0.1,1,0,0
tromsttre,3,0,0,0.08,1,0,1
rajyaafk,3,1,0.2,0.11,1,0,1
lanhaibin00,4,5,0,0,0,0,0.89
58668,2,2,0,0,1,0,1
fi922282,3,2,0.27,0,1,0,1
jackyangge,2,2,0.27,0.1,1,0,0.43
tvg1996,2,2,0.09,0.11,1,0,0
mreza600,1,3,0.2,0.08,1,0,0
xqnyivbglx,5,1,0,0,1,0,0
mohammadza123,2,4,0,0.11,1,0,0.6
qkanh,2,0,0,0,1,0,0
zgt113,2,3,0,0.1,1,0,1
peresn48,3,0,0,0.05,1,0,0
vietphamna,3,0,0.14,0,0,0,0.5
katheleenitalia,1,4,0,0.2,1,0,1
sunli666888s,3,3,0,0,1,0,1
avelinaburni,1,4,0,0.2,1,0,0
arnoldalexanderr2,6,1,0.07,0.1,1,0,0
fcnpani,2,1,0,0,1,0,0
raymond110x,3,3,0,0.2,0,0,0.56
lijibab,2,3,0.14,0.11,1,0,1
